,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
337,"[0.0, 674.0, 3.4023579095548127, 9.3100657718669044, 43169, 0.0, 1.0, 3.0, 14.0]","[-2, 11009, 98.335853358533583, 368.07398740314915, 0, 0.0, 3, 32.0, 466.09999999999127]","[0.0, 65535.0, 17.766794625719768, 296.0118812731327, 23933, 2.0, 5.0, 13.0, 51.0]","[0.0, 96.0, 6.7582058772985052, 7.8333482960068563, 24352, 2.0, 4.0, 9.0, 23.0]","[0.0, 1948285.0, 17356.599922493268, 65828.951539776011, 1943, 878.0, 2590.0, 9730.0, 58301.0]","[0.0, 22579.0, 108.76447389973163, 300.14096164800651, 20632, 8.0, 31.0, 100.0, 444.0]","[0.0, 4208.0, 16.381517477267039, 63.704973296664868, 4103, 1.0, 4.0, 12.0, 63.0]","[0.0, 1093.0, 13.343150691783631, 14.375410947377185, 40, 3.0, 8.0, 21.0, 43.0]","[0.0, 8002.0, 105.16467840160173, 201.18630218288487, 4103, 11.0, 41.0, 114.0, 417.0]","[0.0, 8.0, 0.61066338201654058, 0.69565431603820527, 43169, 0.0, 1.0, 1.0, 2.0]","[0.0, 109.0, 2.8391382330858428, 5.1051006580021445, 4103, 1.0, 1.0, 3.0, 11.0]","[0.0, 650.0, 1.1663864200496437, 7.2706762846709454, 75021, 0.0, 0.0, 0.0, 4.0]","[0.0, 1136.0, 6.6723201184448824, 9.6697684321030906, 24352, 2.0, 4.0, 8.0, 23.0]","['05db9164', 0.49942, 99999, 511]","['38a947a1', 0.10715, 99999, 505]","['d032c263', 0.02983, 96314, 40268]","['c18be181', 0.03693, 96314, 21945]","['25c83c98', 0.6708, 99999, 138]","['7e0ccccf', 0.35291, 90940, 12]","['1c86e0eb', 0.01809, 99999, 7741]","['0b153874', 0.59513, 99999, 253]","['a73ee510', 0.91129, 99999, 3]","['3b08e48b', 0.21168, 99999, 11453]","['755e4a50', 0.02816, 99999, 3798]","['6aaba33c', 0.03275, 96314, 35472]","['3516f6e6', 0.02917, 99999, 2792]","['07d13a8f', 0.34398, 99999, 26]","['2d0bb053', 0.02442, 99999, 4938]","['b041b04a', 0.03275, 96314, 29852]","['e5ba7672', 0.46903, 99999, 10]","['2804effd', 0.04432, 99999, 2464]","['21ddcdc9', 0.31191, 49286, 1192]","['a458ea53', 0.17145, 49286, 3]","['723b4dfd', 0.03275, 96314, 32902]","['ad3062eb', 0.18925, 28678, 9]","['32c7478e', 0.39927, 99999, 14]","['b34f3128', 0.05516, 96314, 10560]","['001f3601', 0.13759, 49286, 47]","['49d68486', 0.03781, 49286, 8052]"
338,"[0.0, 306.0, 3.4271306012478728, 8.5422685779428846, 43583, 0.0, 1.0, 3.0, 14.0]","[-2, 8572, 102.70445704457045, 373.57295786811437, 0, 0.0, 3, 34.0, 495.0]","[0.0, 10413.0, 16.514873335074434, 135.65859526773417, 23419, 2.0, 5.0, 14.0, 52.0]","[0.0, 104.0, 6.886019356196087, 7.9684275931716337, 23951, 2.0, 4.0, 9.0, 23.0]","[0.0, 2693697.0, 17751.425044864998, 67354.338717176288, 1927, 864.0, 2593.0, 9783.0, 61575.349999999991]","[0.0, 28099.0, 110.81010067834721, 297.60822076841373, 20836, 8.0, 31.0, 101.0, 458.0]","[0.0, 4214.0, 16.288190716437512, 60.115257075499343, 4066, 1.0, 3.0, 12.0, 64.0]","[0.0, 1761.0, 13.332863117033835, 15.788864068696144, 45, 2.0, 8.0, 21.0, 43.0]","[0.0, 6221.0, 106.77988804686605, 208.29976766405176, 4066, 11.0, 41.0, 115.0, 427.0]","[0.0, 9.0, 0.62881097560975607, 0.70137342177664952, 43583, 0.0, 1.0, 1.0, 2.0]","[0.0, 138.0, 2.8378764345949778, 5.2992167735738729, 4066, 1.0, 1.0, 3.0, 11.0]","[0.0, 862.0, 1.2994125987441767, 9.8641477838014886, 75314, 0.0, 0.0, 0.0, 4.0]","[0.0, 1958.0, 6.8743688196928252, 11.42523668195539, 23951, 2.0, 4.0, 9.0, 24.0]","['05db9164', 0.49605, 99999, 558]","['38a947a1', 0.10818, 99999, 510]","['d032c263', 0.03073, 96476, 40976]","['c18be181', 0.03824, 96476, 22372]","['25c83c98', 0.66848, 99999, 136]","['7e0ccccf', 0.35611, 91228, 11]","['1c86e0eb', 0.01641, 99999, 7752]","['0b153874', 0.59641, 99999, 256]","['a73ee510', 0.9079, 99999, 3]","['3b08e48b', 0.215, 99999, 11553]","['755e4a50', 0.02696, 99999, 3845]","['6aaba33c', 0.03183, 96476, 36188]","['3516f6e6', 0.02724, 99999, 2818]","['07d13a8f', 0.34617, 99999, 26]","['2d0bb053', 0.02342, 99999, 5097]","['b041b04a', 0.03183, 96476, 30476]","['e5ba7672', 0.46991, 99999, 10]","['2804effd', 0.04339, 99999, 2510]","['21ddcdc9', 0.31133, 49698, 1222]","['b1252a9d', 0.17273, 49698, 3]","['723b4dfd', 0.03183, 96476, 33642]","['ad3062eb', 0.18754, 28699, 9]","['32c7478e', 0.39557, 99999, 14]","['3b183c5c', 0.0556, 96476, 10785]","['001f3601', 0.13828, 49698, 52]","['49d68486', 0.0396, 49698, 8129]"
339,"[0.0, 334.0, 3.4741968618283567, 8.6510097664002608, 43533, 0.0, 1.0, 3.0, 15.0]","[-2, 8896, 108.53131531315313, 386.67978615645455, 0, 0.0, 3, 36.0, 550.0]","[0.0, 65535.0, 19.247964934251723, 385.68417826684464, 23343, 2.0, 5.0, 14.0, 55.0]","[0.0, 133.0, 6.7723126055259613, 7.9852544254801217, 23596, 2.0, 4.0, 9.0, 23.0]","[0.0, 2314100.0, 17441.511842682641, 66707.920717638452, 2006, 832.0, 2587.0, 9735.0, 58736.399999999994]","[0.0, 17290.0, 106.92847335071741, 276.11681290240932, 20616, 7.0, 31.0, 99.0, 446.0]","[0.0, 4006.0, 16.391817736913897, 59.609364943456995, 3962, 1.0, 4.0, 12.0, 65.0]","[0.0, 720.0, 13.013456593730929, 13.78315554207972, 48, 2.0, 8.0, 20.0, 42.0]","[0.0, 7101.0, 104.39855472370024, 202.83770580562887, 3962, 10.0, 40.0, 113.0, 420.0]","[0.0, 6.0, 0.62956469379803781, 0.69414069620063945, 43533, 0.0, 1.0, 1.0, 2.0]","[0.0, 135.0, 2.8341056051313558, 5.207947205147204, 3962, 1.0, 1.0, 3.0, 11.0]","[0.0, 527.0, 1.2194413496737226, 7.2112205844860311, 74867, 0.0, 0.0, 1.0, 4.0]","[0.0, 787.0, 6.881562242320328, 9.4836863070296449, 23596, 2.0, 4.0, 9.0, 24.0]","['05db9164', 0.49911, 99999, 553]","['38a947a1', 0.11065, 99999, 514]","['d032c263', 0.0303, 96410, 41172]","['c18be181', 0.03799, 96410, 22509]","['25c83c98', 0.6704, 99999, 149]","['7e0ccccf', 0.35806, 91347, 12]","['1c86e0eb', 0.01729, 99999, 7712]","['0b153874', 0.5915, 99999, 260]","['a73ee510', 0.9105, 99999, 3]","['3b08e48b', 0.21396, 99999, 11467]","['755e4a50', 0.02837, 99999, 3806]","['6aaba33c', 0.03099, 96410, 36400]","['5978055e', 0.02837, 99999, 2792]","['07d13a8f', 0.34578, 99999, 26]","['2d0bb053', 0.0229, 99999, 5103]","['b041b04a', 0.03099, 96410, 30590]","['e5ba7672', 0.46656, 99999, 10]","['2804effd', 0.04222, 99999, 2537]","['21ddcdc9', 0.31441, 49932, 1228]","['a458ea53', 0.17143, 49932, 3]","['723b4dfd', 0.03099, 96410, 33684]","['ad3062eb', 0.18503, 28418, 8]","['32c7478e', 0.39117, 99999, 14]","['b34f3128', 0.05525, 96410, 10817]","['001f3601', 0.13445, 49932, 51]","['49d68486', 0.03859, 49932, 8242]"
340,"[0.0, 496.0, 3.5067751158784564, 9.1503029106180254, 43690, 0.0, 1.0, 3.0, 15.0]","[-2, 13367, 111.1039710397104, 400.38250241874442, 0, 0.0, 3, 36.0, 572.09999999999127]","[0.0, 65535.0, 25.832832845789433, 517.27832413619478, 22741, 2.0, 5.0, 15.0, 58.0]","[0.0, 96.0, 6.8522202116718951, 7.9953335984293448, 23182, 2.0, 4.0, 9.0, 23.0]","[0.0, 1915401.0, 17725.994452844068, 67556.584430944393, 2111, 794.0, 2589.0, 9743.0, 60323.249999999971]","[0.0, 12694.0, 107.66875229102676, 280.79204157223921, 20886, 7.0, 30.0, 99.0, 440.0]","[0.0, 5329.0, 16.292542641808804, 64.130835797217884, 4201, 1.0, 3.0, 12.0, 63.0]","[0.0, 739.0, 12.933000470277463, 13.845842629698113, 58, 2.0, 8.0, 20.0, 42.0]","[0.0, 9567.0, 104.12087935029959, 209.09570521171574, 4201, 10.0, 39.0, 112.0, 419.0]","[0.0, 6.0, 0.64133619847626488, 0.68964197749413358, 43690, 0.0, 1.0, 1.0, 2.0]","[0.0, 128.0, 2.7937639616693457, 5.1437273232978455, 4201, 1.0, 1.0, 3.0, 10.0]","[0.0, 230.0, 1.2249256012225529, 6.7680629203072558, 75133, 0.0, 0.0, 1.0, 4.0]","[0.0, 5638.0, 7.1342671544059257, 22.440671731663837, 23182, 2.0, 4.0, 9.0, 25.0]","['05db9164', 0.50204, 99999, 515]","['38a947a1', 0.10858, 99999, 502]","['d032c263', 0.031, 96537, 41343]","['c18be181', 0.03867, 96537, 22737]","['25c83c98', 0.67093, 99999, 141]","['7e0ccccf', 0.36151, 91115, 13]","['1c86e0eb', 0.01877, 99999, 7782]","['0b153874', 0.59322, 99999, 252]","['a73ee510', 0.90823, 99999, 3]","['3b08e48b', 0.2152, 99999, 11534]","['755e4a50', 0.02891, 99999, 3832]","['dfbb09fb', 0.031, 96537, 36876]","['5978055e', 0.02891, 99999, 2812]","['07d13a8f', 0.34304, 99999, 26]","['2d0bb053', 0.02062, 99999, 5099]","['84898b2a', 0.031, 96537, 30977]","['e5ba7672', 0.46633, 99999, 10]","['2804effd', 0.04061, 99999, 2543]","['21ddcdc9', 0.3193, 50882, 1246]","['b1252a9d', 0.17216, 50882, 3]","['0014c32a', 0.031, 96537, 34171]","['ad3062eb', 0.1837, 28286, 10]","['32c7478e', 0.39446, 99999, 14]","['3b183c5c', 0.05526, 96537, 10894]","['001f3601', 0.13344, 50882, 52]","['49d68486', 0.03836, 50882, 8361]"
341,"[0.0, 354.0, 3.5707322279940228, 8.8472272441613438, 43787, 0.0, 1.0, 3.0, 15.0]","[-2, 12551, 113.48562485624856, 402.9796942819047, 0, 0.0, 3, 36.0, 592.0]","[0.0, 30618.0, 32.150958960610438, 610.59317967293259, 22415, 2.0, 6.0, 15.0, 61.0]","[0.0, 119.0, 6.9314719828421554, 8.1059616468354232, 22600, 2.0, 4.0, 9.0, 24.0]","[0.0, 1774192.0, 17583.24349176509, 67880.506889153155, 2123, 769.5, 2564.0, 9741.5, 58686.25]","[0.0, 21599.0, 107.062809750177, 302.69816438376233, 20903, 7.0, 30.0, 97.0, 438.0]","[0.0, 6768.0, 16.208251616941372, 66.567876736286138, 4139, 1.0, 3.0, 12.0, 63.0]","[0.0, 465.0, 12.999789861308464, 13.914586320952365, 65, 2.0, 8.0, 20.0, 43.0]","[0.0, 10504.0, 103.16120383893177, 205.87724317874728, 4139, 10.0, 39.0, 110.0, 413.0]","[0.0, 8.0, 0.65521596812068594, 0.69940696545544023, 43787, 0.0, 1.0, 1.0, 2.0]","[0.0, 123.0, 2.7609639056958062, 5.0766115840654225, 4139, 1.0, 1.0, 3.0, 10.0]","[0.0, 320.0, 1.1957365908907047, 6.34616171254115, 75277, 0.0, 0.0, 1.0, 5.0]","[0.0, 1788.0, 7.2118632023669553, 11.088421792463869, 22600, 2.0, 4.0, 9.0, 25.0]","['05db9164', 0.50006, 99999, 536]","['38a947a1', 0.10881, 99999, 507]","['d032c263', 0.03246, 96536, 41609]","['c18be181', 0.0409, 96536, 22885]","['25c83c98', 0.67253, 99999, 134]","['7e0ccccf', 0.3639, 91202, 12]","['1c86e0eb', 0.01831, 99999, 7760]","['0b153874', 0.59281, 99999, 269]","['a73ee510', 0.90958, 99999, 3]","['3b08e48b', 0.21746, 99999, 11543]","['755e4a50', 0.02888, 99999, 3846]","['dfbb09fb', 0.03246, 96536, 37327]","['5978055e', 0.02888, 99999, 2821]","['07d13a8f', 0.34529, 99999, 26]","['2d0bb053', 0.01907, 99999, 5099]","['84898b2a', 0.03246, 96536, 31340]","['e5ba7672', 0.46538, 99999, 10]","['2804effd', 0.03746, 99999, 2543]","['21ddcdc9', 0.3184, 51109, 1232]","['a458ea53', 0.17248, 51109, 3]","['0014c32a', 0.03246, 96536, 34616]","['ad3062eb', 0.18322, 28105, 10]","['32c7478e', 0.3979, 99999, 14]","['3b183c5c', 0.05737, 96536, 11027]","['001f3601', 0.13215, 51109, 51]","['49d68486', 0.0388, 51109, 8423]"
342,"[0.0, 397.0, 3.6345747538048343, 9.0984074055428845, 44149, 0.0, 1.0, 4.0, 15.0]","[-2, 13424, 115.97926979269792, 414.37907794755711, 0, 0.0, 3, 36.0, 603.0]","[0.0, 30629.0, 22.989533323008622, 324.56228624413643, 22515, 2.0, 6.0, 16.0, 61.0]","[0.0, 226.0, 6.861529144977581, 8.1085830284689919, 22387, 2.0, 4.0, 9.0, 23.0]","[0.0, 1735060.0, 17926.844421500275, 68163.38964352422, 2177, 731.0, 2580.0, 9816.0, 60113.649999999921]","[0.0, 26044.0, 107.5746971906906, 304.75645592729535, 21154, 7.0, 30.0, 97.0, 441.0]","[0.0, 4831.0, 16.38765123070505, 70.179514509676338, 4119, 1.0, 3.0, 12.0, 63.0]","[0.0, 1128.0, 12.798437359317321, 14.169179606895485, 40, 2.0, 8.0, 20.0, 42.0]","[0.0, 7736.0, 101.95312891113892, 203.55844569957097, 4119, 10.0, 38.0, 108.0, 412.0]","[0.0, 6.0, 0.67043867502238141, 0.70033352739133459, 44149, 0.0, 1.0, 1.0, 2.0]","[0.0, 144.0, 2.7425949103045473, 5.0808718993771542, 4119, 1.0, 1.0, 3.0, 10.0]","[0.0, 451.0, 1.2761437251036092, 6.8507749253412529, 75146, 0.0, 0.0, 1.0, 5.0]","[0.0, 1171.0, 7.275060557645725, 10.30340015356094, 22387, 2.0, 4.0, 9.0, 26.0]","['05db9164', 0.50322, 99999, 519]","['38a947a1', 0.10923, 99999, 502]","['d032c263', 0.03006, 96498, 41386]","['c18be181', 0.03814, 96498, 22980]","['25c83c98', 0.67122, 99999, 143]","['7e0ccccf', 0.36541, 91193, 14]","['1c86e0eb', 0.01829, 99999, 7799]","['0b153874', 0.5935, 99999, 235]","['a73ee510', 0.90702, 99999, 3]","['3b08e48b', 0.22273, 99999, 11506]","['755e4a50', 0.02827, 99999, 3884]","['dfbb09fb', 0.03006, 96498, 37246]","['5978055e', 0.02827, 99999, 2845]","['07d13a8f', 0.34956, 99999, 26]","['2d0bb053', 0.01728, 99999, 5140]","['84898b2a', 0.03006, 96498, 31307]","['e5ba7672', 0.45928, 99999, 10]","['2804effd', 0.03566, 99999, 2529]","['21ddcdc9', 0.33239, 52074, 1228]","['b1252a9d', 0.17614, 52074, 3]","['0014c32a', 0.03006, 96498, 34583]","['ad3062eb', 0.18466, 28385, 10]","['32c7478e', 0.40087, 99999, 14]","['3b183c5c', 0.05435, 96498, 11095]","['001f3601', 0.13966, 52074, 51]","['49d68486', 0.03891, 52074, 8407]"
343,"[0.0, 422.0, 3.6465840505696225, 9.109665398360848, 43997, 0.0, 1.0, 4.0, 16.0]","[-2, 12003, 117.33165331653316, 419.22543989668219, 0, 0.0, 3, 37.0, 606.0]","[0.0, 65535.0, 22.568228891947872, 381.25753966511888, 22268, 2.0, 6.0, 15.0, 62.0]","[0.0, 174.0, 6.8609353136753999, 8.0697256334834702, 22100, 2.0, 4.0, 9.0, 23.0]","[0.0, 2235055.0, 17719.845232983706, 67880.609145235532, 2181, 669.0, 2561.0, 9849.0, 58951.949999999924]","[0.0, 33223.0, 108.15465671338615, 312.98646455875701, 21231, 7.0, 30.0, 97.0, 442.64999999999418]","[0.0, 4163.0, 15.724401064773735, 56.778174696909396, 4204, 1.0, 3.0, 12.0, 62.0]","[0.0, 1897.0, 12.920332556301462, 16.960495338122445, 46, 2.0, 8.0, 20.0, 42.0]","[0.0, 7429.0, 101.30575708544288, 203.43162221175004, 4204, 10.0, 38.0, 108.0, 406.0]","[0.0, 6.0, 0.68588621834934471, 0.70701743504125769, 43997, 0.0, 1.0, 1.0, 2.0]","[0.0, 113.0, 2.7252988151782453, 4.9619343943686918, 4204, 1.0, 1.0, 3.0, 10.0]","[0.0, 201.0, 1.200624037604344, 5.6531627424457653, 75321, 0.0, 0.0, 1.0, 5.0]","[0.0, 2092.0, 7.3966803168204986, 12.169115011259283, 22100, 2.0, 4.0, 9.0, 26.0]","['05db9164', 0.49982, 99999, 522]","['38a947a1', 0.1099, 99999, 511]","['d032c263', 0.0301, 96535, 41594]","['c18be181', 0.03878, 96535, 23056]","['25c83c98', 0.67084, 99999, 136]","['7e0ccccf', 0.36628, 91034, 11]","['1c86e0eb', 0.01795, 99999, 7798]","['0b153874', 0.5963, 99999, 261]","['a73ee510', 0.90869, 99999, 3]","['3b08e48b', 0.2267, 99999, 11322]","['755e4a50', 0.02768, 99999, 3835]","['dfbb09fb', 0.0301, 96535, 37484]","['5978055e', 0.02768, 99999, 2819]","['07d13a8f', 0.34724, 99999, 25]","['2d0bb053', 0.01681, 99999, 5103]","['84898b2a', 0.0301, 96535, 31394]","['e5ba7672', 0.45847, 99999, 10]","['e88ffc9d', 0.03408, 99999, 2493]","['21ddcdc9', 0.33235, 52205, 1237]","['b1252a9d', 0.1774, 52205, 3]","['0014c32a', 0.0301, 96535, 34683]","['ad3062eb', 0.1826, 28272, 10]","['32c7478e', 0.40245, 99999, 14]","['3b183c5c', 0.05476, 96535, 11039]","['001f3601', 0.14019, 52205, 51]","['49d68486', 0.03844, 52205, 8439]"
344,"[0.0, 699.0, 3.6680805938494165, 9.3265581045224675, 43419, 0.0, 1.0, 4.0, 15.0]","[-2, 13128, 117.27103271032711, 425.84892236343404, 0, 0.0, 3, 36.0, 606.0]","[0.0, 30730.0, 27.053961669931251, 453.81215852101462, 21888, 2.0, 6.0, 16.0, 64.0]","[0.0, 169.0, 6.9715094242982998, 8.2844444644234478, 21903, 2.0, 4.0, 9.0, 24.0]","[0.0, 1844706.0, 17423.646837449505, 67619.893308296349, 2214, 312.0, 2524.0, 9760.0, 57767.800000000134]","[0.0, 91162.0, 108.28906891801373, 443.01000415931844, 20876, 7.0, 29.0, 95.0, 441.0]","[0.0, 8739.0, 15.939434682008629, 67.221721815489403, 4053, 1.0, 3.0, 12.0, 62.0]","[0.0, 1157.0, 13.022422107938286, 14.872680513770094, 53, 2.0, 8.0, 20.0, 42.0]","[0.0, 10499.0, 101.79766743793384, 205.62626118860808, 4053, 10.0, 37.5, 107.0, 413.0]","[0.0, 8.0, 0.70171438670908448, 0.71108651535340883, 43419, 0.0, 1.0, 1.0, 2.0]","[0.0, 114.0, 2.7333708544389554, 5.0673437544755933, 4053, 1.0, 1.0, 3.0, 10.0]","[0.0, 235.0, 1.2635845213849288, 6.3093411895671982, 75449, 0.0, 0.0, 1.0, 5.0]","[0.0, 1201.0, 7.5702340708871132, 11.190277743455962, 21903, 2.0, 4.0, 9.0, 27.0]","['05db9164', 0.4977, 99999, 517]","['38a947a1', 0.10933, 99999, 507]","['d032c263', 0.02998, 96583, 41827]","['c18be181', 0.03798, 96583, 23072]","['25c83c98', 0.6699, 99999, 133]","['7e0ccccf', 0.36828, 91085, 12]","['1c86e0eb', 0.01767, 99999, 7802]","['0b153874', 0.59481, 99999, 256]","['a73ee510', 0.90943, 99999, 3]","['3b08e48b', 0.22371, 99999, 11461]","['755e4a50', 0.02808, 99999, 3831]","['dfbb09fb', 0.02998, 96583, 37672]","['5978055e', 0.02808, 99999, 2823]","['07d13a8f', 0.34634, 99999, 26]","['2d0bb053', 0.01775, 99999, 5112]","['84898b2a', 0.02998, 96583, 31581]","['e5ba7672', 0.45751, 99999, 10]","['2804effd', 0.03505, 99999, 2536]","['21ddcdc9', 0.33128, 52410, 1221]","['b1252a9d', 0.17597, 52410, 3]","['0014c32a', 0.02998, 96583, 34886]","['ad3062eb', 0.18327, 28172, 9]","['32c7478e', 0.39854, 99999, 14]","['3b183c5c', 0.05427, 96583, 11162]","['001f3601', 0.13775, 52410, 49]","['49d68486', 0.03906, 52410, 8514]"
345,"[0.0, 578.0, 3.7337572622927588, 9.7839916185583782, 43543, 0.0, 1.0, 4.0, 16.0]","[-2, 10691, 115.10756107561076, 411.46549632724253, 0, 0.0, 3, 36.0, 603.0]","[0.0, 30763.0, 29.613794696124092, 548.3561932219219, 22056, 2.0, 6.0, 16.0, 64.0]","[0.0, 125.0, 6.9444828469022015, 8.210353410391642, 21879, 2.0, 4.0, 9.0, 24.0]","[0.0, 2063471.0, 17372.837831763482, 66858.814662769146, 2113, 244.0, 2538.0, 9743.0, 57511.25]","[0.0, 13206.0, 107.23883453581637, 282.13767174226132, 20580, 7.0, 30.0, 96.0, 444.0]","[0.0, 5790.0, 16.373666666666665, 66.192402577597321, 3999, 1.0, 3.0, 12.0, 64.0]","[0.0, 1578.0, 13.053414570702524, 17.20318268398222, 45, 2.0, 8.0, 20.0, 42.0]","[0.0, 6131.0, 104.15892708333334, 209.92487110226375, 3999, 10.0, 38.0, 110.0, 421.0]","[0.0, 7.0, 0.70791412781635255, 0.71470632868497963, 43543, 0.0, 1.0, 1.0, 2.0]","[0.0, 155.0, 2.7729791666666666, 5.1640493794481088, 3999, 1.0, 1.0, 3.0, 10.0]","[0.0, 219.0, 1.2624928670416564, 6.3801038217470101, 75465, 0.0, 0.0, 1.0, 5.0]","[0.0, 518.0, 7.6238991295442906, 10.465722163095299, 21879, 2.0, 4.0, 10.0, 27.0]","['05db9164', 0.49915, 99999, 523]","['38a947a1', 0.10771, 99999, 499]","['d032c263', 0.02774, 96518, 41896]","['c18be181', 0.0357, 96518, 23269]","['25c83c98', 0.6704, 99999, 146]","['7e0ccccf', 0.37164, 91064, 11]","['1c86e0eb', 0.01795, 99999, 7773]","['0b153874', 0.59485, 99999, 262]","['a73ee510', 0.90935, 99999, 3]","['3b08e48b', 0.22204, 99999, 11515]","['755e4a50', 0.02849, 99999, 3867]","['dfbb09fb', 0.02774, 96518, 38005]","['5978055e', 0.02849, 99999, 2820]","['07d13a8f', 0.34934, 99999, 26]","['2d0bb053', 0.01562, 99999, 5088]","['84898b2a', 0.02774, 96518, 31983]","['e5ba7672', 0.4614, 99999, 10]","['e88ffc9d', 0.03624, 99999, 2517]","['21ddcdc9', 0.32794, 52656, 1254]","['a458ea53', 0.17846, 52656, 3]","['0014c32a', 0.02774, 96518, 35325]","['ad3062eb', 0.18543, 28318, 9]","['32c7478e', 0.3962, 99999, 14]","['3fdb382b', 0.05037, 96518, 11155]","['001f3601', 0.13267, 52656, 51]","['49d68486', 0.0401, 52656, 8543]"
346,"[0.0, 464.0, 3.7513937531270103, 9.6852233478609797, 44035, 0.0, 1.0, 4.0, 16.0]","[-2, 13726, 114.08222082220823, 412.29837564416283, 0, 0.0, 3, 35.0, 592.0]","[0.0, 65535.0, 27.198172259996657, 511.51384636225612, 22198, 2.0, 6.0, 16.0, 66.0]","[0.0, 150.0, 6.8729008763238149, 8.1516444313691085, 22288, 2.0, 4.0, 9.0, 24.0]","[0.0, 2429287.0, 17587.862996604068, 67047.665715787749, 2235, 251.0, 2580.5, 9904.0, 59089.699999999983]","[0.0, 35940.0, 108.57442851901985, 350.22300485059355, 20950, 7.0, 30.0, 95.0, 443.0]","[0.0, 3542.0, 16.258518078442407, 63.056412856683075, 4056, 1.0, 3.0, 12.0, 64.0]","[0.0, 487.0, 12.848434217108554, 13.98732098456297, 49, 2.0, 8.0, 20.0, 42.0]","[0.0, 12892.0, 103.18684010297781, 220.82496871058743, 4056, 10.0, 38.0, 108.0, 413.0]","[0.0, 6.0, 0.71538846401257949, 0.72308927037586046, 44035, 0.0, 1.0, 1.0, 2.0]","[0.0, 156.0, 2.7432746526583491, 5.0521530110030088, 4056, 1.0, 1.0, 3.0, 10.0]","[0.0, 283.0, 1.1965434746741461, 5.9906996294429069, 75755, 0.0, 0.0, 1.0, 5.0]","[0.0, 265.0, 7.5735610145281882, 10.019848554517598, 22288, 2.0, 4.0, 10.0, 27.0]","['05db9164', 0.49944, 99999, 528]","['38a947a1', 0.10747, 99999, 506]","['d032c263', 0.02628, 96488, 41911]","['c18be181', 0.03446, 96488, 23349]","['25c83c98', 0.66969, 99999, 140]","['7e0ccccf', 0.3732, 91059, 12]","['1c86e0eb', 0.01916, 99999, 7847]","['0b153874', 0.59287, 99999, 259]","['a73ee510', 0.90715, 99999, 3]","['3b08e48b', 0.22645, 99999, 11662]","['755e4a50', 0.03009, 99999, 3883]","['dfbb09fb', 0.02628, 96488, 38148]","['5978055e', 0.03009, 99999, 2842]","['07d13a8f', 0.35223, 99999, 26]","['d345b1a0', 0.01202, 99999, 5123]","['84898b2a', 0.02628, 96488, 32174]","['e5ba7672', 0.4582, 99999, 10]","['e88ffc9d', 0.03683, 99999, 2527]","['21ddcdc9', 0.33177, 53473, 1238]","['a458ea53', 0.18016, 53473, 3]","['0014c32a', 0.02628, 96488, 35517]","['ad3062eb', 0.18428, 27868, 11]","['32c7478e', 0.39587, 99999, 14]","['3fdb382b', 0.0528, 96488, 11298]","['001f3601', 0.12517, 53473, 49]","['49d68486', 0.04228, 53473, 8695]"
